Name,Supplier_Name__c,Street__c,City__c,Country__c,Postal_Code__c,Supplier_Notes__c
Skip-the-Line Eiffel Tower Summit by Lift,Lumière Tours,"Champ de Mars, 5 Avenue Anatole France",Paris,France,75007,"eiffel tower tour - go to SUMMIT not just 2nd floor!! lift included. meet 15 min before at south pillar (pilier sud) under the tower, guide has a YELLOW umbrella. 2 hrs roughly. tickets pre booked so DONT be late or you lose the slot. wheelchair ok up to 2nd floor only, summit no. kids under 4 free. bring passport sometimes they check. amazing views of paris, sunset slot is best seller"
Colosseum Underground & Arena Floor Guided Tour,Roma Antica Experiences,"Piazza del Colosseo, 1",Rome,Italy,00184,"COLOSSEUM - includes underground (hypogeum) + arena floor access, these areas NOT open to general public. small group max 15. guide is licensed historian. also includes roman forum + palatine hill same ticket valid 24h. meet at arch of constantine. approx 3 hours total. lots of stairs underground NOT wheelchair accessible. no big bags allowed security like airport. summer is HOT bring water + hat"
Sagrada Família Fast-Track with Tower Access,Gaudí Walks BCN,"Carrer de Mallorca, 401",Barcelona,Spain,08013,"sagrada familia - fast track entry skip the queue, audio guide in 12 languages. OPTIONAL tower lift extra cost book separate. dress code shoulders+knees covered its a church. tower has narrow spiral stairs to come down. meet at the nativity facade side near the pond. 1.5h guided then free time. closes early on sundays for mass"
Brandenburg Gate & Berlin Wall History Walk,Hauptstadt Histories,Pariser Platz,Berlin,Germany,10117,"berlin walking tour. starts brandenburg gate goes to reichstag, holocaust memorial, checkpoint charlie, bits of the wall. 2.5 hrs walking comfy shoes!! guide speaks EN + DE. free cancellation 24h. its outdoors rain or shine bring jacket. ends near checkpoint charlie. good for history nerds, NOT a lot of sitting"
Tower of London & Crown Jewels Early Access,Thames Heritage Co.,St Katharine's & Wapping,London,United Kingdom,EC3N 4AB,"TOWER OF LONDON early bird before crowds. see crown jewels first thing = no queue. yeoman warder (beefeater) intro included. ~2.5h. cobblestones + steep steps in towers. cafe on site. nearest tube tower hill. NO photos allowed in jewel house. ravens are real dont touch lol. white tower has lots of stairs no lift"
Statue of Liberty & Ellis Island Ferry Tour,Harbor Lights NYC,Battery Park - Castle Clinton,New York,United States,10004,"liberty + ellis island. ferry ticket INCLUDED leaves from battery park. pedestal access included crown is NOT (crown sells out months ahead). ellis island immigration museum self guided. security screening before ferry arrive 45min early. whole thing 4-5 hrs if you do both islands. ferry only way to get there. windy on boat"
Empire State Building Sunset & Night Views,Skyline Access Group,20 West 34th Street,New York,United States,10001,"empire state - 86th floor open air deck + 102nd floor optional. SUNSET slot most popular books out. express pass option skip lines extra $. ~1-1.5h. there's a 2nd floor museum exhibit on the way up. accessible elevators yes. great for photos. midtown manhattan. open till 2am last elevator 1:15am"
Acropolis & Parthenon Morning Guided Tour,Hellenic Path Tours,Acropolis,Athens,Greece,10558,"ACROPOLIS go EARLY morning before heat + crowds. parthenon, erechtheion, temple of athena nike. licensed guide req by law for groups. lots of uneven marble = slippery wear grippy shoes NO heels. ~2h. ticket also covers slopes (theatre of dionysus). no shade bring hat+water. wheelchair lift exists but call ahead. combo ticket for other sites available"
Anne Frank Walking Tour (House entry NOT included),Jordaan Stories,Westermarkt 20,Amsterdam,Netherlands,1016 GV,"IMPORTANT this is the WALKING TOUR around jewish quarter + jordaan, does NOT include entry to anne frank house (those tickets only on official site 6 wks ahead). tells the story outside. ~2h walking. canals, jewish historical sites, homomonument. guide very knowledgeable sensitive topic. meet at westermarkt by the church. flat walking easy"
Sydney Opera House Guided Interior Tour,Harbour Icon Tours,Bennelong Point,Sydney,Australia,2000,"sydney opera house INSIDE tour see the concert halls + foyers. 1 hr. subject to performance schedule sometimes rooms closed rehearsals. meet at tour desk lower concourse. accessible fully lifts everywhere. multiple languages avail check schedule. photos ok in some areas not during. cafe + bar on site. harbour views stunning"
